trial,scenario,duration_s,buffer_m,position_error_bound_m,steps,g2_seconds,p2_seconds,joint_l3_seconds,first_joint_l3_s,pre_release_joint_l3_seconds,unknown_seconds,paired_seconds,zone_mismatch_seconds,boundary_uncertain_seconds,gas_invalid_seconds,person_invalid_seconds,person_p2_gas_missing_lower_bound_fail,gas_g2_person_missing_lower_bound_fail
007_Et_L_Me_L,S2_possible_overlap,5,1.0,0.0,215,154,35,47,87.0,0,0,215,0,0,0,0,0,0
007_Et_L_Me_L,S2_possible_overlap,5,1.0,0.2,215,154,32,39,87.0,0,10,205,0,10,0,10,0,0
007_Et_L_Me_L,S2_possible_overlap,5,1.0,0.5,215,154,15,15,95.0,0,41,174,0,41,0,41,0,0
007_Et_L_Me_L,S2_possible_overlap,5,2.0,0.0,215,154,35,53,87.0,0,0,215,0,0,0,0,0,0
007_Et_L_Me_L,S2_possible_overlap,5,2.0,0.2,215,154,32,44,87.0,0,15,200,0,15,0,15,0,0
007_Et_L_Me_L,S2_possible_overlap,5,2.0,0.5,215,154,15,21,87.0,0,45,170,0,45,0,45,0,0
008_Et_H_CO_L,S2_possible_overlap,1,0.5,0.0,215,161,35,43,88.0,0,0,215,0,0,0,0,0,0
008_Et_H_CO_L,S2_possible_overlap,1,0.5,0.2,215,161,32,35,89.0,0,11,204,0,11,0,11,0,0
008_Et_H_CO_L,S2_possible_overlap,1,0.5,0.5,215,161,15,15,95.0,0,32,183,0,32,0,32,0,0
008_Et_H_CO_L,S2_possible_overlap,1,1.0,0.0,215,161,35,49,85.0,0,0,215,0,0,0,0,0,0
008_Et_H_CO_L,S2_possible_overlap,1,1.0,0.2,215,161,32,40,86.0,0,10,205,0,10,0,10,0,0
008_Et_H_CO_L,S2_possible_overlap,1,1.0,0.5,215,161,15,15,95.0,0,41,174,0,41,0,41,0,0
008_Et_H_CO_L,S2_possible_overlap,1,2.0,0.0,215,161,35,60,80.0,0,0,215,0,0,0,0,0,0
008_Et_H_CO_L,S2_possible_overlap,1,2.0,0.2,215,161,32,51,80.0,0,15,200,0,15,0,15,0,0
008_Et_H_CO_L,S2_possible_overlap,1,2.0,0.5,215,161,15,26,80.0,0,45,170,0,45,0,45,0,0
008_Et_H_CO_L,S2_possible_overlap,3,0.5,0.0,215,159,35,43,88.0,0,0,215,0,0,0,0,0,0
008_Et_H_CO_L,S2_possible_overlap,3,0.5,0.2,215,159,32,35,89.0,0,11,204,0,11,0,11,0,0
008_Et_H_CO_L,S2_possible_overlap,3,0.5,0.5,215,159,15,15,95.0,0,32,183,0,32,0,32,0,0
008_Et_H_CO_L,S2_possible_overlap,3,1.0,0.0,215,159,35,49,85.0,0,0,215,0,0,0,0,0,0
008_Et_H_CO_L,S2_possible_overlap,3,1.0,0.2,215,159,32,40,86.0,0,10,205,0,10,0,10,0,0
008_Et_H_CO_L,S2_possible_overlap,3,1.0,0.5,215,159,15,15,95.0,0,41,174,0,41,0,41,0,0
008_Et_H_CO_L,S2_possible_overlap,3,2.0,0.0,215,159,35,58,82.0,0,0,215,0,0,0,0,0,0
008_Et_H_CO_L,S2_possible_overlap,3,2.0,0.2,215,159,32,49,82.0,0,15,200,0,15,0,15,0,0
008_Et_H_CO_L,S2_possible_overlap,3,2.0,0.5,215,159,15,24,82.0,0,45,170,0,45,0,45,0,0
008_Et_H_CO_L,S2_possible_overlap,5,0.5,0.0,215,157,35,43,88.0,0,0,215,0,0,0,0,0,0
008_Et_H_CO_L,S2_possible_overlap,5,0.5,0.2,215,157,32,35,89.0,0,11,204,0,11,0,11,0,0
008_Et_H_CO_L,S2_possible_overlap,5,0.5,0.5,215,157,15,15,95.0,0,32,183,0,32,0,32,0,0
008_Et_H_CO_L,S2_possible_overlap,5,1.0,0.0,215,157,35,49,85.0,0,0,215,0,0,0,0,0,0
008_Et_H_CO_L,S2_possible_overlap,5,1.0,0.2,215,157,32,40,86.0,0,10,205,0,10,0,10,0,0
008_Et_H_CO_L,S2_possible_overlap,5,1.0,0.5,215,157,15,15,95.0,0,41,174,0,41,0,41,0,0
008_Et_H_CO_L,S2_possible_overlap,5,2.0,0.0,215,157,35,56,84.0,0,0,215,0,0,0,0,0,0
008_Et_H_CO_L,S2_possible_overlap,5,2.0,0.2,215,157,32,47,84.0,0,15,200,0,15,0,15,0,0
008_Et_H_CO_L,S2_possible_overlap,5,2.0,0.5,215,157,15,22,85.0,0,45,170,0,45,0,45,0,0
009_Et_M_Me_L,S2_possible_overlap,1,0.5,0.0,215,162,35,43,88.0,0,0,215,0,0,0,0,0,0
009_Et_M_Me_L,S2_possible_overlap,1,0.5,0.2,215,162,32,35,89.0,0,11,204,0,11,0,11,0,0
009_Et_M_Me_L,S2_possible_overlap,1,0.5,0.5,215,162,15,15,95.0,0,32,183,0,32,0,32,0,0
009_Et_M_Me_L,S2_possible_overlap,1,1.0,0.0,215,162,35,49,85.0,0,0,215,0,0,0,0,0,0
009_Et_M_Me_L,S2_possible_overlap,1,1.0,0.2,215,162,32,40,86.0,0,10,205,0,10,0,10,0,0
009_Et_M_Me_L,S2_possible_overlap,1,1.0,0.5,215,162,15,15,95.0,0,41,174,0,41,0,41,0,0
009_Et_M_Me_L,S2_possible_overlap,1,2.0,0.0,215,162,35,61,79.0,0,0,215,0,0,0,0,0,0
009_Et_M_Me_L,S2_possible_overlap,1,2.0,0.2,215,162,32,52,79.0,0,15,200,0,15,0,15,0,0
009_Et_M_Me_L,S2_possible_overlap,1,2.0,0.5,215,162,15,26,80.0,0,45,170,0,45,0,45,0,0
009_Et_M_Me_L,S2_possible_overlap,3,0.5,0.0,215,160,35,43,88.0,0,0,215,0,0,0,0,0,0
